time,origin_zone,dest_zone,counts
3600,1,1,"[4, 0, 1, 0, 3, 2, 0]"
12000,0,0,"[2, 0, 0, 0, 0, 1, 2]"
29400,1,1,"[1, 3, 4, 2, 2, 0, 1]"
63000,1,1,"[4, 3, 3, 1, 1, 1, 3]"
14400,0,0,"[1, 0, 0, 0, 0, 0, 1]"
4800,0,1,"[7, 0, 0, 0, 1, 2, 1]"
0,0,2,"[1, 0, 0, 0, 1, 0, 1]"
42000,3,3,"[1, 0, 0, 0, 0, 0, 0]"
70800,1,0,"[2, 2, 2, 2, 0, 2, 1]"
60600,0,0,"[1, 0, 1, 0, 0, 0, 0]"
47400,0,1,"[2, 0, 1, 0, 0, 1, 0]"
58800,1,1,"[3, 2, 1, 3, 2, 2, 4]"
46800,0,0,"[6, 1, 1, 0, 0, 1, 0]"
41400,1,1,"[4, 2, 2, 3, 3, 2, 2]"
2400,0,0,"[6, 0, 1, 3, 0, 1, 4]"
67800,0,0,"[2, 2, 0, 2, 2, 1, 0]"
12600,1,0,"[3, 1, 1, 0, 0, 1, 4]"
69600,1,1,"[1, 6, 4, 2, 1, 4, 3]"
17400,0,1,"[1, 0, 1, 0, 0, 0, 0]"
5400,1,1,"[3, 1, 0, 1, 0, 2, 3]"
75000,1,0,"[1, 1, 0, 2, 2, 2, 0]"
59400,1,0,"[2, 0, 1, 0, 0, 1, 1]"
84000,2,2,"[1, 0, 1, 1, 0, 1, 1]"
84000,1,0,"[1, 0, 1, 3, 1, 4, 4]"
48000,0,1,"[1, 1, 1, 1, 0, 0, 2]"
57000,1,0,"[3, 0, 2, 1, 1, 0, 1]"
67200,2,2,"[1, 1, 1, 1, 1, 0, 0]"
6600,1,2,"[1, 1, 0, 0, 0, 0, 0]"
1800,0,1,"[2, 0, 0, 0, 2, 0, 1]"
60600,0,1,"[2, 1, 0, 1, 0, 0, 0]"
6600,0,1,"[6, 0, 0, 0, 1, 1, 4]"
24600,0,1,"[1, 1, 1, 1, 0, 1, 0]"
12600,1,1,"[6, 0, 0, 1, 1, 0, 1]"
11400,1,0,"[2, 0, 0, 1, 0, 0, 1]"
65400,2,2,"[1, 0, 1, 1, 0, 0, 2]"
9000,1,1,"[4, 0, 0, 0, 0, 2, 1]"
40800,3,1,"[1, 0, 0, 0, 0, 0, 0]"
75600,0,0,"[1, 3, 1, 2, 4, 1, 2]"
67800,1,1,"[2, 3, 0, 3, 0, 5, 8]"
42000,1,1,"[2, 1, 2, 3, 3, 3, 5]"
36000,2,3,"[1, 0, 0, 0, 0, 0, 0]"
4800,1,2,"[1, 0, 0, 0, 1, 0, 0]"
81000,0,0,"[1, 2, 2, 1, 0, 2, 3]"
54600,1,0,"[2, 0, 2, 0, 0, 0, 3]"
9600,1,1,"[6, 0, 0, 0, 0, 0, 3]"
64200,1,1,"[2, 3, 3, 2, 0, 4, 2]"
55800,1,1,"[3, 1, 3, 3, 2, 2, 6]"
